Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
212581,Secondary, Опалиха,6.0,Moscow region,1.0,46.1,25.4,10.5,9.0,17,European-style renovation
206755,Secondary, Мякинино,20.0,Moscow region,2.0,60.7,40.0,13.0,2.0,7,Cosmetic
178571,Secondary, Павшино,11.0,Moscow region,2.0,42.0,28.0,6.0,5.0,5,Cosmetic
191639,Secondary, Опалиха,17.0,Moscow region,2.0,61.0,31.0,12.0,6.0,8,Without renovation
181170,Secondary, Аникеевка,16.0,Moscow region,2.0,70.1,37.6,12.4,4.0,6,Cosmetic
274403,Secondary, Пенягино,19.0,Moscow region,2.0,46.1,23.7,14.6,4.0,15,Designer
264706,Secondary, Пенягино,18.0,Moscow region,2.0,68.0,35.0,17.0,30.0,44,Designer
170700,Secondary, Пенягино,10.0,Moscow region,2.0,73.5,39.5,13.3,6.0,22,Without renovation
205357,Secondary, Опалиха,6.0,Moscow region,2.0,56.0,22.0,13.0,3.0,24,Designer
215909,Secondary, Митино,17.0,Moscow region,2.0,44.0,26.0,7.0,1.0,8,European-style renovation
208748,Secondary, Митино,11.0,Moscow region,2.0,50.3,25.0,6.0,22.0,25,European-style renovation
173758,Secondary, Митино,14.0,Moscow region,2.0,64.4,30.1,13.6,7.0,9,European-style renovation
287500,Secondary, Пенягино,15.0,Moscow region,2.0,40.0,31.0,6.5,32.0,44,Designer
205931,Secondary, Опалиха,6.0,Moscow region,2.0,60.7,17.0,11.7,7.0,17,European-style renovation
454128,Secondary, Мякинино,14.0,Moscow region,2.0,109.0,59.0,15.0,8.0,8,Designer
655216,Secondary, Мякинино,14.0,Moscow region,2.0,78.6,10.0,13.1,3.0,4,Designer
668348,Secondary, Мякинино,14.0,Moscow region,2.0,79.3,12.0,13.2,3.0,4,Designer
228571,Secondary, Аникеевка,5.0,Moscow region,2.0,35.0,16.0,16.0,3.0,3,Designer
195402,Secondary, Павшино,14.0,Moscow region,2.0,43.5,28.2,6.0,1.0,5,European-style renovation
209524,Secondary, Павшино,5.0,Moscow region,2.0,42.0,28.0,6.0,5.0,5,Cosmetic
185577,Secondary, Опалиха,7.0,Moscow region,2.0,52.0,30.0,9.0,8.0,25,Cosmetic
148485,Secondary, Красногорская,9.0,Moscow region,2.0,66.0,35.9,11.2,10.0,25,European-style renovation
200000,Secondary, Павшино,12.0,Moscow region,2.0,50.0,15.0,30.0,6.0,21,European-style renovation
219149,Secondary, Павшино,18.0,Moscow region,2.0,47.0,25.9,10.5,16.0,18,Designer
222458,Secondary, Красногорская,6.0,Moscow region,2.0,47.2,32.0,9.0,11.0,12,Cosmetic
205769,Secondary, Опалиха,6.0,Moscow region,2.0,52.0,30.0,12.0,10.0,26,Designer
241176,Secondary, Красногорская,7.0,Moscow region,2.0,51.0,26.0,10.0,3.0,17,European-style renovation
193056,Secondary, Пенягино,10.0,Moscow region,2.0,72.0,40.0,12.0,11.0,17,European-style renovation
